# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.364593622375749903e-03,4.690963068172903913e-06,-3.534371357122291718e-04
1.472918724475149981e-02,1.875298646729581863e-05,-7.065549559490145798e-04
2.209378086712725231e-02,4.215355417975219895e-05,-1.059035010300275010e-03
2.945837448950299961e-02,7.483874290415253321e-05,-1.410560573750780332e-03
3.682296811187875385e-02,1.167336227423333087e-04,-1.760817497581450026e-03
4.418756173425450462e-02,1.677428094670488042e-04,-2.109495046236624198e-03
5.155215535663024845e-02,2.277511599409134816e-04,-2.456286715679738362e-03
5.891674897900599922e-02,2.966246002156827091e-04,-2.800891028928052459e-03
6.628134260138174305e-02,3.742110740563907930e-04,-3.143012304662982058e-03
7.364593622375750770e-02,4.603415981432605240e-04,-3.482361395053441139e-03
8.101052984613324459e-02,5.548314090340867536e-04,-3.818656389202019705e-03
8.837512346850900924e-02,6.574811861349457972e-04,-4.151623278924412332e-03
9.573971709088474613e-02,7.680783344363430404e-04,-4.480996583897147757e-03
1.031043107132604969e-01,8.863983106153508701e-04,-4.806519933553380849e-03
1.104689043356362477e-01,1.012205976271845012e-03,-5.127946603466773494e-03
1.178334979580119984e-01,1.145256962531760988e-03,-5.445040004335164122e-03
1.251980915803877492e-01,1.285299030983549006e-03,-5.757574122053998530e-03
1.325626852027634861e-01,1.432073416880091932e-03,-6.065333907750411306e-03
1.399272788251392508e-01,1.585316141696977094e-03,-6.368115617027772339e-03
1.472918724475150154e-01,1.744759283447966294e-03,-6.665727098043679709e-03
1.546564660698907523e-01,1.910132194578113103e-03,-6.957988028407646047e-03
1.620210596922664892e-01,2.081162658742776589e-03,-7.244730101234873355e-03
1.693856533146422261e-01,2.257577979297650111e-03,-7.525797161026100308e-03
1.767502469370180185e-01,2.439105993836390793e-03,-7.801045290357652359e-03
1.841148405593937554e-01,2.625476010585269058e-03,-8.070342848658453722e-03
1.914794341817694923e-01,2.816419663872525223e-03,-8.333570464619164536e-03
1.988440278041452569e-01,3.011671687211090170e-03,-8.590620984021888479e-03
2.062086214265209938e-01,3.210970603748518684e-03,-8.841399374995267263e-03
2.135732150488967585e-01,3.414059334936567301e-03,-9.085822592888663854e-03
2.209378086712724953e-01,3.620685729243607130e-03,-9.323819407120206154e-03
2.283024022936482600e-01,3.830603013574622896e-03,-9.555330192486378299e-03
2.356669959160239969e-01,4.043570170772274597e-03,-9.780306687526305748e-03
2.430315895383997338e-01,4.259352247153582426e-03,-9.998711722612138933e-03
