# omega, re fxc dimensionless
1.000000000000000048e-04,9.998697538098307858e-01
1.010199019901990118e-02,9.869874698671320390e-01
2.010398039803980297e-02,9.743867945966008248e-01
3.010597059705970649e-02,9.620596323885400869e-01
4.010796079607961001e-02,9.499980228194195853e-01
5.010995099509951006e-02,9.381942149837771971e-01
6.011194119411941705e-02,9.266406912296224485e-01
7.011393139313931711e-02,9.153301747869739824e-01
8.011592159215921716e-02,9.042556302073063712e-01
9.011791179117911721e-02,8.934102601141830080e-01
1.001199019901990173e-01,8.827874999296552172e-01
1.101218921892189173e-01,8.723810114657479797e-01
1.201238823882388312e-01,8.621846758944282652e-01
1.301258725872587174e-01,8.521925864086961067e-01
1.401278627862786175e-01,8.423990407723400686e-01
1.501298529852985175e-01,8.327985338861925158e-01
1.601318431843184176e-01,8.233857504546956418e-01
1.701338333833383176e-01,8.141555578078275568e-01
1.801358235823582177e-01,8.051029989141351706e-01
1.901378137813781177e-01,7.962232856074157317e-01
2.001398039803980178e-01,7.875117920403911231e-01
2.101417941794179178e-01,7.789640483722563014e-01
2.201437843784378179e-01,7.705757346923955975e-01
2.301457745774577179e-01,7.623426751793139777e-01
2.401477647764776457e-01,7.542608324915183182e-01
2.501497549754975180e-01,7.463263023854700418e-01
2.601517451745174458e-01,7.385353085546023655e-01
2.701537353735373181e-01,7.308841976826645492e-01
2.801557255725572460e-01,7.233694347041494943e-01
2.901577157715771182e-01,7.159875982643202352e-01
3.001597059705970461e-01,7.087353763712028742e-01
3.101616961696169184e-01,7.016095622319107328e-01
3.201636863686368462e-01,6.946070502657384349e-01
3.301656765676567740e-01,6.877248322865879837e-01
3.401676667666766463e-01,6.809599938474744096e-01
3.501696569656965741e-01,6.743097107400539691e-01
3.601716471647164464e-01,6.677712456423499088e-01
3.701736373637363742e-01,6.613419449080945034e-01
3.801756275627562465e-01,6.550192354413932883e-01
3.901776177617761743e-01,6.488006220002844326e-01
4.001796079607960466e-01,6.426836838743932301e-01
4.101815981598159744e-01,6.366660726793638148e-01
4.201835883588358467e-01,6.307455095144617330e-01
4.301855785578557745e-01,6.249197825271957107e-01
4.401875687568756468e-01,6.191867445304405360e-01
4.501895589558955746e-01,6.135443107173553789e-01
4.601915491549154469e-01,6.079904564696707592e-01
4.701935393539353747e-01,6.025232152551110998e-01
4.801955295529553025e-01,5.971406766099336405e-01
