# rs,eps_c
1.000000000000000056e-01,-1.084475745593578566e-01
2.000000000000000111e-01,-8.864097615208146874e-02
3.000000000000000444e-01,-7.747445396012672680e-02
4.000000000000000222e-01,-6.978628947571369201e-02
5.000000000000000000e-01,-6.397589886298547801e-02
5.999999999999999778e-01,-5.933709618993322082e-02
7.000000000000000666e-01,-5.549652186225109696e-02
8.000000000000000444e-01,-5.223319210138043650e-02
9.000000000000000222e-01,-4.940571910642987952e-02
1.000000000000000000e+00,-4.691831549100945742e-02
2.000000000000000000e+00,-3.161109599106929485e-02
3.000000000000000000e+00,-2.358331797714308814e-02
4.000000000000000000e+00,-1.825569227410495099e-02
5.000000000000000000e+00,-1.426001694921863114e-02
6.000000000000000000e+00,-1.107251399162562447e-02
7.000000000000000000e+00,-8.714754256085369827e-03
8.000000000000000000e+00,-6.626661394241837796e-03
9.000000000000000000e+00,-4.767114839426752314e-03
1.000000000000000000e+01,-3.249986012037468092e-03
1.100000000000000000e+01,-1.794190704759862642e-03
1.200000000000000000e+01,-5.537579914252003903e-04
1.300000000000000000e+01,6.291075649746953428e-04
1.400000000000000000e+01,1.749986141619164996e-03
1.500000000000000000e+01,2.716265242958041965e-03
1.600000000000000000e+01,3.662484844926722910e-03
1.700000000000000000e+01,4.533586662039115409e-03
1.800000000000000000e+01,5.450602746776879622e-03
1.900000000000000000e+01,6.279932077454573359e-03
2.000000000000000000e+01,7.091350257591326478e-03
2.100000000000000000e+01,7.888104740670351389e-03
2.200000000000000000e+01,8.676499973614292330e-03
2.300000000000000000e+01,9.463531674958615761e-03
2.400000000000000000e+01,1.025695377257248089e-02
2.500000000000000000e+01,1.106535777404108432e-02
2.600000000000000000e+01,1.189159984291472162e-02
2.700000000000000000e+01,1.282169828848940193e-02
2.800000000000000000e+01,1.377179947681001285e-02
2.900000000000000000e+01,1.486960155933946155e-02
3.000000000000000000e+01,1.630064710608311249e-02
3.100000000000000000e+01,1.889864944229172061e-02
3.200000000000000000e+01,1.948459378882221732e-02
3.300000000000000000e+01,7.505965673211221004e-03
3.400000000000000000e+01,2.162174605630445834e-02
3.500000000000000000e+01,2.333824441160886262e-02
3.600000000000000000e+01,1.840248857379182812e-02
3.700000000000000000e+01,2.113771510182746449e-02
3.800000000000000000e+01,4.289280163048393019e-02
3.900000000000000000e+01,3.816064800028097503e-02
4.000000000000000000e+01,2.070686177298774328e-02
4.100000000000000000e+01,1.329860265894463548e-03
4.200000000000000000e+01,1.571215108704319269e-02
4.300000000000000000e+01,2.055603785935660593e-02
4.400000000000000000e+01,1.552573307495418165e-02
4.500000000000000000e+01,4.405247593516602167e-02
4.600000000000000000e+01,3.899532202907279171e-02
4.700000000000000000e+01,1.432436376304917734e-02
4.800000000000000000e+01,2.823552750964492680e-02
4.900000000000000000e+01,-1.016307891392759233e-02
5.000000000000000000e+01,1.699666766483718533e-02
5.100000000000000000e+01,-9.375951706777868599e-01
5.200000000000000000e+01,1.933360207300636319e-02
5.300000000000000000e+01,8.550619487977592637e-02
5.400000000000000000e+01,2.696437053803615869e-02
