# rs,eps_c
1.000000000000000056e-01,-1.286017425184416973e-01
2.000000000000000111e-01,-1.078991619974636190e-01
3.000000000000000444e-01,-9.613736607683068258e-02
4.000000000000000222e-01,-8.799589967722448725e-02
5.000000000000000000e-01,-8.181669299586313837e-02
5.999999999999999778e-01,-7.686555311324566597e-02
7.000000000000000666e-01,-7.275316398657272199e-02
8.000000000000000444e-01,-6.924850395365195199e-02
9.000000000000000222e-01,-6.620341982977039075e-02
1.000000000000000000e+00,-6.351732640028548427e-02
2.000000000000000000e+00,-4.694156948504839277e-02
3.000000000000000000e+00,-3.824227008569025532e-02
4.000000000000000000e+00,-3.252532776107617402e-02
5.000000000000000000e+00,-2.830524074278305269e-02
6.000000000000000000e+00,-2.500254695520966880e-02
7.000000000000000000e+00,-2.260446057886218718e-02
8.000000000000000000e+00,-2.053277145366297698e-02
9.000000000000000000e+00,-1.873245666088725614e-02
1.000000000000000000e+01,-1.730896082181706402e-02
1.100000000000000000e+01,-1.597532346239125683e-02
1.200000000000000000e+01,-1.488135666946039867e-02
1.300000000000000000e+01,-1.386645187613776663e-02
1.400000000000000000e+01,-1.293314852916171293e-02
1.500000000000000000e+01,-1.217271447082772864e-02
1.600000000000000000e+01,-1.145018368021998023e-02
1.700000000000000000e+01,-1.082049822276029589e-02
1.800000000000000000e+01,-1.016325158057634730e-02
1.900000000000000000e+01,-9.612427192333494394e-03
2.000000000000000000e+01,-9.099832067285517842e-03
2.100000000000000000e+01,-8.624165269444462878e-03
2.200000000000000000e+01,-8.181797422836581055e-03
2.300000000000000000e+01,-7.769367905072707865e-03
2.400000000000000000e+01,-7.384103703698970123e-03
2.500000000000000000e+01,-7.024405243351648787e-03
2.600000000000000000e+01,-6.697652160368517196e-03
2.700000000000000000e+01,-6.333777032714614508e-03
2.800000000000000000e+01,-6.044324679311932451e-03
2.900000000000000000e+01,-5.759705157607462184e-03
3.000000000000000000e+01,-5.488219268929058620e-03
3.100000000000000000e+01,-5.229691088495950872e-03
3.200000000000000000e+01,-4.983293639175951500e-03
3.300000000000000000e+01,-4.748134665773921445e-03
3.400000000000000000e+01,-4.523362186803691828e-03
3.500000000000000000e+01,-4.308187095518015153e-03
3.600000000000000000e+01,-4.101885221981385957e-03
3.700000000000000000e+01,-3.903793488484756137e-03
3.800000000000000000e+01,-3.713304446822125477e-03
3.900000000000000000e+01,-3.529860620681271252e-03
4.000000000000000000e+01,-3.352949143681409686e-03
4.100000000000000000e+01,-3.182096846138704818e-03
4.200000000000000000e+01,-3.016865814276511321e-03
4.300000000000000000e+01,-2.856849396148259008e-03
4.400000000000000000e+01,-2.701668612217267718e-03
4.500000000000000000e+01,-2.550968927361942692e-03
4.600000000000000000e+01,-2.404417348717694317e-03
4.700000000000000000e+01,-2.261699830096544281e-03
4.800000000000000000e+01,-2.122518994575535098e-03
4.900000000000000000e+01,-1.986592248787106066e-03
5.000000000000000000e+01,-1.853650498450129785e-03
5.100000000000000000e+01,-1.723438002723167925e-03
5.200000000000000000e+01,-1.595714784122586986e-03
5.300000000000000000e+01,-1.470265696758305679e-03
5.400000000000000000e+01,-1.346930051289402502e-03
5.500000000000000000e+01,-1.225712044827612871e-03
5.600000000000000000e+01,-1.107373144922332419e-03
5.700000000000000000e+01,-1.002601176694520226e-03
5.800000000000000000e+01,-8.467020819864551264e-04
5.900000000000000000e+01,-7.376769749063171767e-04
6.000000000000000000e+01,-6.211749725660026126e-04
6.100000000000000000e+01,-5.030412188771093323e-04
6.200000000000000000e+01,-3.835456671381152604e-04
6.300000000000000000e+01,-2.622540129765910609e-04
6.400000000000000000e+01,-1.383868361941597040e-04
6.500000000000000000e+01,-1.076665395082556384e-05
6.600000000000000000e+01,1.224644739144236803e-04
6.700000000000000000e+01,2.646422490823264789e-04
6.800000000000000000e+01,4.234630468682520714e-04
6.900000000000000000e+01,6.313843820648539547e-04
7.000000000000000000e+01,3.118846268036384634e-04
7.100000000000000000e+01,9.472094371428636458e-04
7.200000000000000000e+01,1.072237195787485806e-03
7.300000000000000000e+01,2.047062226731739387e-03
7.400000000000000000e+01,1.415649184167679748e-03
7.500000000000000000e+01,1.103146972056930986e-03
7.600000000000000000e+01,4.837903604153043734e-03
7.700000000000000000e+01,2.784819128696650568e-03
7.800000000000000000e+01,1.882774472883091662e-03
7.900000000000000000e+01,-4.478939809854529282e-03
8.000000000000000000e+01,3.184137277525780647e-03
8.100000000000000000e+01,2.753510770366426278e-03
8.200000000000000000e+01,-1.575746205811499835e-03
8.300000000000000000e+01,-2.612117365110849278e-03
8.400000000000000000e+01,2.399517171116387869e-03
8.500000000000000000e+01,4.541133611936990812e-03
8.600000000000000000e+01,-1.076158706901468045e-04
8.700000000000000000e+01,-2.557678479813204134e-02
8.800000000000000000e+01,-2.859329504822070295e-03
8.900000000000000000e+01,9.551321960106827578e-04
9.000000000000000000e+01,2.606854873592519967e-03
9.100000000000000000e+01,1.508883256746019856e-02
9.200000000000000000e+01,-7.942202676478640451e-05
9.300000000000000000e+01,6.032707651604012067e-03
9.400000000000000000e+01,2.391037965928304726e-03
9.500000000000000000e+01,-1.064789260537915561e-02
9.600000000000000000e+01,1.967908972883277395e-03
9.700000000000000000e+01,1.690906252402259169e-02
9.800000000000000000e+01,3.830664963519228930e-03
9.900000000000000000e+01,3.305473154595614266e-03
1.000000000000000000e+02,9.623962162398891872e-04
1.010000000000000000e+02,-2.287779827731352194e-04
1.020000000000000000e+02,7.424855235564038064e-03
1.030000000000000000e+02,3.608847661947404213e-04
1.040000000000000000e+02,1.464006160234480533e-03
1.050000000000000000e+02,2.113670295103879486e-03
1.060000000000000000e+02,3.990726918107107696e-02
1.070000000000000000e+02,-2.075972022729363764e-02
1.080000000000000000e+02,-8.508406434731257545e-03
1.090000000000000000e+02,-1.257168996104009954e-03
1.100000000000000000e+02,-1.408701745727274036e-03
1.110000000000000000e+02,2.621295290453899696e-03
1.120000000000000000e+02,-6.343348510520191441e-02
1.130000000000000000e+02,1.332556946904052820e-04
1.140000000000000000e+02,1.147425070286273510e-02
1.150000000000000000e+02,3.882924426631779655e-03
1.160000000000000000e+02,6.342329461512722201e-04
1.170000000000000000e+02,1.152563391961018702e-02
1.180000000000000000e+02,1.581294396378403206e-03
1.190000000000000000e+02,3.594267719495202514e-03
1.200000000000000000e+02,5.893184145269379955e-03
