# rs (bohr), Gamma muxc > 0, Gamma muxc = 0
1.000000000000000056e-01,2.403093948968749949e+00,2.089031553656250040e+00
1.119823964792958648e-01,2.373468958843750087e+00,2.061398750367187560e+00
1.239647929585917241e-01,2.346375217874999919e+00,2.036367508710937191e+00
1.359471894378875834e-01,2.321390851203124939e+00,2.013469078843749926e+00
1.479295859171834426e-01,2.298187733937499644e+00,1.992351898382812347e+00
1.599119823964793019e-01,2.276484616171875253e+00,1.972734717421874784e+00
1.718943788757751612e-01,2.256070560476562736e+00,1.954406598531249983e+00
1.838767753550710204e-01,2.236781504406249788e+00,1.937203479265624750e+00
1.958591718343668797e-01,2.218476823007812460e+00,1.920973015925780958e+00
2.078415683136627390e-01,2.201039328820312502e+00,1.905621458542968716e+00
2.198239647929585983e-01,2.184386990621093538e+00,1.891037479029296531e+00
2.318063612722544575e-01,2.168426058441406568e+00,1.877144905535155894e+00
2.437887577515503168e-01,2.153097938550781798e+00,1.863879284957030924e+00
2.557711542308461761e-01,2.138355755964843397e+00,1.851182023564452717e+00
2.677535507101420631e-01,2.124123338833983965e+00,1.839006246373046771e+00
2.797359471894378946e-01,2.110377249666015587e+00,1.827299219025390276e+00
2.917183436687337261e-01,2.097070613476562873e+00,1.816025785283203131e+00
3.037007401480296132e-01,2.084179992773437018e+00,1.805156648281249776e+00
3.156831366273255002e-01,2.071670231318359257e+00,1.794659581467773046e+00
3.276655331066213317e-01,2.059512032246093582e+00,1.784508217664062091e+00
3.396479295859171632e-01,2.047687817437499724e+00,1.774676189691406059e+00
3.516303260652130502e-01,2.036174149400390654e+00,1.765145919430663790e+00
3.636127225445089373e-01,2.024947590642578010e+00,1.755896899076171636e+00
3.755951190238047133e-01,2.013996422417968724e+00,1.746911550508788880e+00
3.875775155031006003e-01,2.003303066607422078e+00,1.738175225295898185e+00
3.995599119823964873e-01,1.992855804464843450e+00,1.729673275004882438e+00
4.115423084616923743e-01,1.982639987557616834e+00,1.721391051203124523e+00
4.235247049409881503e-01,1.972643897139647828e+00,1.713316835144530925e+00
4.355071014202840374e-01,1.962855814464843585e+00,1.705441837769530844e+00
4.474894978995799244e-01,1.953266950473632857e+00,1.697752875488769408e+00
4.594718943788758114e-01,1.943868516106445288e+00,1.690244088929198973e+00
4.714542908581715874e-01,1.934651722303710519e+00,1.682905224187988047e+00
4.834366873374674745e-01,1.925607780005859082e+00,1.675727492205566271e+00
4.954190838167633615e-01,1.916730829839843553e+00,1.668703568765624645e+00
5.074014802960592485e-01,1.908012082746093574e+00,1.661829059338378656e+00
5.193838767753550245e-01,1.899448609038085545e+00,1.655093710020996145e+00
5.313662732546509115e-01,1.891031619656249774e+00,1.648494591126953068e+00
5.433486697339467986e-01,1.882758184914062216e+00,1.642025843283203113e+00
5.553310662132426856e-01,1.874619515751952736e+00,1.635680142273437276e+00
5.673134626925384616e-01,1.866614147326659978e+00,1.629454558411132847e+00
5.792958591718343486e-01,1.858736220265136740e+00,1.623343232323241736e+00
5.912782556511302356e-01,1.850982804880858978e+00,1.617341769479979874e+00
6.032606521304261227e-01,1.843348041800781045e+00,1.611447240194824104e+00
6.152430486097218987e-01,1.835827536495116874e+00,1.605655249937988138e+00
6.272254450890177857e-01,1.828421288963866687e+00,1.599962136601318363e+00
6.392078415683136727e-01,1.821121974990722148e+00,1.594364238076659834e+00
6.511902380476094487e-01,1.813929594575683257e+00,1.588858624677489839e+00
6.631726345269053358e-01,1.806839753188964615e+00,1.583441634295653877e+00
6.751550310062012228e-01,1.799849521144042619e+00,1.578111069666259692e+00
6.871374274854971098e-01,1.792955968754394558e+00,1.572864001102783238e+00
6.991198239647929968e-01,1.786157631176757743e+00,1.567697132707885466e+00
7.111022204440887728e-01,1.779450846302978118e+00,1.562608633427490012e+00
7.230846169233846599e-01,1.772833416868163869e+00,1.557595939785888728e+00
7.350670134026805469e-01,1.766304610450683210e+00,1.552656488307372573e+00
7.470494098819763229e-01,1.759860032520751627e+00,1.547788081727050180e+00
7.590318063612722099e-01,1.753498950656738220e+00,1.542989255201659748e+00
7.710142028405680970e-01,1.747219900015380745e+00,1.538257811466308578e+00
7.829965993198639840e-01,1.741019950910155822e+00,1.533591553256103079e+00
7.949789957991598710e-01,1.734897638497802319e+00,1.528989015727783229e+00
8.069613922784556470e-01,1.728851497935058212e+00,1.524448001616454995e+00
8.189437887577515340e-01,1.722879331957030802e+00,1.519967412289672470e+00
8.309261852370474211e-01,1.716980408142089853e+00,1.515545416693359071e+00
8.429085817163431971e-01,1.711152529225341556e+00,1.511180183773437324e+00
8.548909781956390841e-01,1.705394230363525221e+00,1.506870614897460436e+00
8.668733746749349711e-01,1.699704046713378602e+00,1.502615245222167495e+00
8.788557711542308581e-01,1.694081245853271245e+00,1.498412609904296477e+00
8.908381676335267452e-01,1.688524362939941348e+00,1.494261610311400812e+00
9.028205641128225212e-01,1.683031200708495767e+00,1.490160781600219142e+00
9.148029605921184082e-01,1.677601026737304490e+00,1.486109025138305562e+00
9.267853570714142952e-01,1.672233474815551624e+00,1.482105242293212832e+00
9.387677535507100712e-01,1.666926347678344467e+00,1.478147968221679598e+00
9.507501500300059583e-01,1.661678912904052563e+00,1.474236836712890408e+00
9.627325465093018453e-01,1.656489705649413890e+00,1.470370016712768457e+00
9.747149429885977323e-01,1.651358359703613221e+00,1.466546775799682401e+00
9.866973394678936193e-01,1.646283410223388533e+00,1.462766381552001782e+00
9.986797359471893953e-01,1.641264124787109147e+00,1.459027918442687977e+00
1.010662132426485282e+00,1.636299038551513263e+00,1.455330104733886465e+00
1.022644528905781280e+00,1.631387419094970870e+00,1.451672391109374960e+00
1.034626925385077056e+00,1.626528533995849291e+00,1.448053862042113948e+00
1.046609321864372832e+00,1.621721650832519401e+00,1.444473418899657968e+00
1.058591718343668830e+00,1.616965304761718292e+00,1.440930695471191125e+00
1.070574114822964606e+00,1.612259495783447072e+00,1.437424593124267513e+00
1.082556511302260605e+00,1.607602392843627825e+00,1.433954562542663513e+00
1.094538907781556381e+00,1.602993995942260774e+00,1.430519688199340944e+00
1.106521304260852379e+00,1.598433206446899124e+00,1.427119786988891637e+00
1.118503700740148155e+00,1.593918925725097413e+00,1.423753577173461959e+00
1.130486097219443931e+00,1.589451153776855197e+00,1.420420692542236019e+00
1.142468493698739929e+00,1.585028791969726347e+00,1.417120400673583802e+00
1.154450890178035705e+00,1.580650741671264736e+00,1.413852152251281691e+00
1.166433286657331481e+00,1.576317002881469254e+00,1.410615214853698340e+00
1.178415683136627479e+00,1.572026476967895547e+00,1.407409222270019633e+00
1.190398079615923255e+00,1.567778431508911385e+00,1.404233625184020617e+00
1.202380476095219031e+00,1.563572317188293148e+00,1.401087508068664444e+00
1.214362872574515029e+00,1.559407584689818993e+00,1.397970870923949782e+00
1.226345269053810805e+00,1.555283684697265301e+00,1.394882615117431612e+00
1.238327665533106803e+00,1.551199701683593446e+00,1.391822740649108603e+00
1.250310062012402579e+00,1.547155269437987979e+00,1.388790331991943017e+00
1.262292458491698355e+00,1.543149655538817999e+00,1.385785206040527129e+00
1.274274854970994353e+00,1.539182493775268501e+00,1.382806813478637320e+00
1.286257251450290129e+00,1.535253051725707696e+00,1.379854788095459028e+00
1.298239647929586127e+00,1.531360963179321022e+00,1.376928397469360021e+00
1.310222044408881903e+00,1.527505312609069410e+00,1.374027641600341632e+00
1.322204440888177679e+00,1.523685916909545579e+00,1.371151604961364789e+00
1.334186837367473677e+00,1.519902043659118185e+00,1.368300287552429051e+00
1.346169233846769453e+00,1.516153326646972221e+00,1.365473140057311685e+00
1.358151630326065229e+00,1.512439033451476789e+00,1.362669613159789517e+00
1.370134026805361227e+00,1.508758980967223717e+00,1.359889706859862990e+00
1.382116423284657003e+00,1.505112619877990721e+00,1.357132688735900761e+00
1.394098819763952779e+00,1.501499400867553291e+00,1.354398375682495104e+00
1.406081216243248777e+00,1.497918774619689586e+00,1.351686401488830569e+00
1.418063612722544553e+00,1.494370374923583711e+00,1.348996216838683537e+00
1.430046009201840551e+00,1.490853652463012491e+00,1.346327821732055341e+00
1.442028405681136327e+00,1.487368424132568201e+00,1.343680666852721917e+00
1.454010802160432103e+00,1.483913957510619941e+00,1.341054569095275539e+00
1.465993198639728101e+00,1.480490069491759986e+00,1.338449162248900759e+00
1.477975595119023877e+00,1.477096210759765604e+00,1.335863988550079151e+00
1.489957991598319875e+00,1.473732015103820459e+00,1.333298956446105521e+00
1.501940388077615651e+00,1.470397116313109986e+00,1.330753608173461888e+00
1.513922784556911427e+00,1.467090965071411013e+00,1.328227760626739196e+00
1.525905181036207425e+00,1.463813195167907200e+00,1.325721139147827188e+00
1.537887577515503201e+00,1.460563623497192154e+00,1.323233377525909082e+00
1.549869973994798977e+00,1.457341700743041812e+00,1.320764292655578487e+00
1.561852370474094975e+00,1.454147060694640725e+00,1.318313609878722925e+00
1.573834766953390751e+00,1.450979337141174330e+00,1.315881054537231254e+00
1.585817163432686527e+00,1.447838346977233570e+00,1.313466443525695748e+00
1.597799559911982525e+00,1.444723449333892296e+00,1.311069410633300514e+00
1.609781956391278301e+00,1.441634552658447088e+00,1.308689772754638714e+00
1.621764352870574299e+00,1.438571199187377747e+00,1.306327255231597873e+00
1.633746749349870075e+00,1.435533022709869266e+00,1.303981674958770265e+00
1.645729145829165851e+00,1.432519748567810058e+00,1.301652757278045192e+00
1.657711542308461850e+00,1.429531102103088092e+00,1.299340319084014705e+00
1.669693938787757626e+00,1.426566717104888804e+00,1.297044177271270415e+00
1.681676335267053624e+00,1.423626227362395857e+00,1.294764057181701400e+00
1.693658731746349400e+00,1.420709358217498552e+00,1.292499775709899712e+00
1.705641128225645176e+00,1.417815835012084857e+00,1.290251058197753764e+00
1.717623524704941174e+00,1.414945291535339322e+00,1.288017813092559694e+00
1.729605921184236950e+00,1.412097636234558085e+00,1.285799765736205913e+00
1.741588317663532726e+00,1.409272319793517969e+00,1.283596824575988560e+00
1.753570714142828724e+00,1.406469159106811251e+00,1.281408623401092628e+00
1.765553110622124500e+00,1.403687879516326786e+00,1.279235162211517229e+00
1.777535507101420276e+00,1.400928206363952100e+00,1.277076074796447358e+00
1.789517903580716274e+00,1.398189864991576936e+00,1.274931361155883458e+00
1.801500300060012050e+00,1.395472580741088375e+00,1.272800746631713498e+00
1.813482696539308048e+00,1.392776170507080025e+00,1.270684048118530196e+00
1.825465093018603824e+00,1.390100268078735102e+00,1.268581174063629247e+00
1.837447489497899600e+00,1.387444690350646770e+00,1.266491849808898618e+00
1.849429885977195598e+00,1.384809071111999135e+00,1.264415983801635779e+00
1.861412282456491374e+00,1.382193318810088778e+00,1.262353392936431673e+00
1.873394678935787372e+00,1.379597158786804112e+00,1.260303894107879463e+00
1.885377075415083148e+00,1.377020224831329243e+00,1.258267395763274843e+00
1.897359471894378924e+00,1.374462425390960307e+00,1.256243714797210531e+00
1.909341868373674922e+00,1.371923394254882744e+00,1.254232668104278359e+00
1.921324264852970698e+00,1.369403131423095665e+00,1.252234164131774463e+00
1.933306661332266474e+00,1.366901179132080202e+00,1.250248019774291564e+00
1.945289057811562472e+00,1.364417354276428185e+00,1.248274143479125797e+00
1.957271454290858248e+00,1.361951565303435752e+00,1.246312260588165133e+00
1.969253850770154024e+00,1.359503446002288785e+00,1.244362371101410014e+00
