q/kF, < omega_p(q)**3 >/wp(0)**3, Sum rule/wp(0)**3, < (omega/wp(0))**3*S > - SR
0.01,5.2873685433498256e-05,5.316481563860148e-05,-2.9113020510322435e-07
0.02,0.0002126875705868945,0.00021269317462690505,-5.604040010553013e-09
0.03,0.0004786820502754171,0.0004786874106486755,-5.360373258385832e-09
0.04,0.0008513349342666765,0.0008513212021416947,1.373212498182938e-08
0.05,0.0013309178580594538,0.0013308396528905384,7.820516891542117e-08
0.060000000000000005,0.0019177781258038372,0.0019175589997274351,2.1912607640200976e-07
0.06999999999999999,0.0026123440004831985,0.002611854899939051,4.891005441474451e-07
0.08,0.003415123363997296,0.00341420542123654,9.179427607557654e-07
0.09,0.004326700006626779,0.004325154782790229,1.5452238365503551e-06
0.09999999999999999,0.005347755909873303,0.005345321005160458,2.434904712844514e-06
0.11,0.00647902903188541,0.006475410958099164,3.618073786245714e-06
0.12,0.007721364711620947,0.007716209046968146,5.155664652800422e-06
0.13,0.009075674907756607,0.00906859376644466,7.081141311947314e-06
0.14,0.01054296143119166,0.010533551288214394,9.410142977266805e-06
0.15000000000000002,0.01212432389539779,0.012112078658236653,1.224523716113722e-05
0.16,0.01382094189457284,0.013805352636601194,1.5589257971645662e-05
0.17,0.015634068435606163,0.015614588827907377,1.9479607698786455e-05
0.18000000000000002,0.017565074269908765,0.01754107681358069,2.3997456328073846e-05
0.19,0.01961539051875235,0.019586333655413325,2.9056863339024797e-05
0.2,0.021786576677391787,0.021751823388698573,3.4753288693213646e-05
0.21000000000000002,0.024080272015463842,0.02403914818548602,4.112382997782313e-05
0.22,0.02649818659112652,0.02645004722959495,4.81393615315677e-05
0.23,0.0290421772914587,0.02898642101116552,5.575628029317811e-05
0.24000000000000002,0.031714148830238306,0.03164993864016567,6.421019007263329e-05
0.25,0.034516201195913136,0.03444292310307177,7.327809284136955e-05
0.26,0.03745037585026198,0.03736748876345505,8.288708680692647e-05
0.27,0.04051902840086155,0.04042585184587775,9.317655498380234e-05
0.28,0.04372444347793951,0.04362041532181691,0.00010402815612260002
0.29000000000000004,0.04706913331951969,0.04695367598562502,0.00011545733389466822
0.3,0.05055563774186458,0.05042833253973819,0.00012730520212638624
0.31,0.054186762175516406,0.05404709874627482,0.00013966342924158492
0.32,0.05796523096133689,0.05781293192582633,0.00015229903551056134
0.33,0.06189398518621181,0.061728878134851,0.0001651070513608091
0.34,0.06597615743906116,0.06579808824180697,0.00017806919725418813
0.35000000000000003,0.0702149562344314,0.07002394466358822,0.0001910115708431831
0.36000000000000004,0.07461372307378857,0.07440969909961549,0.00020402397417307316
0.37,0.07917585684205918,0.07895932895279528,0.00021652788926389277
0.38,0.08390504469410752,0.08367667137894691,0.00022837331516060988
0.39,0.08880504702053985,0.08856523694642182,0.00023981007411802424
0.4,0.09387967739711506,0.09362948364586655,0.0002501937512485036
0.41000000000000003,0.0991331757493551,0.09887431674452445,0.00025885900483064994
0.42000000000000004,0.10456945712770987,0.1043018111749749,0.00026764595273497116
0.43,0.11019318818768653,0.10991916792015949,0.000274020267527042
0.44,0.11600868664295184,0.11573038118765727,0.0002783054552945724
0.45,0.12202075504774028,0.12174004084382048,0.00028071420391979907
0.46,0.12823426227960777,0.12795388089179574,0.0002803813878120287
0.47000000000000003,0.13465411796786297,0.13437714215220645,0.0002769758156565272
0.48000000000000004,0.1412856665093599,0.14101551617935093,0.0002701503300089614
0.49,0.14813431460714335,0.14787469079733043,0.00025962380981292554
0.5,0.15520550276020081,0.15496083098451294,0.0002446717756878769
0.51,0.16250515988378283,0.16227986326550284,0.00022529661827999647
0.52,0.17003927223426937,0.16983880980936358,0.00020046242490578958
0.53,0.17781402913156405,0.17764420000201783,0.00016982912954621732
