q/kF, < omega_p(q)**3 >/wp(0)**3, Sum rule/wp(0)**3, < (omega/wp(0))**3*S > - SR
0.01,2.403692432440373e-05,1.9412305634690228e-05,4.624618689713503e-06
0.02,7.769048133114828e-05,7.765284692196186e-05,3.763440918641168e-08
0.03,0.00017469599197744465,0.00017473239569068265,-3.640371323799466e-08
0.04,0.00031054024065209736,0.00031066865024149737,-1.2840958940000397e-07
0.05,0.0004852032414056411,0.0004854858803746492,-2.826389690080704e-07
0.060000000000000005,0.0006986640854111881,0.0006992130813106498,-5.489958994617022e-07
0.06999999999999999,0.0009509182223235684,0.0009518817656866822,-9.6354336311371e-07
0.08,0.0012419591698538894,0.0012443784284078792,-2.4192585539898823e-06
0.09,0.0015717820295528461,0.0015753270832437256,-3.545053690879414e-06
0.09999999999999999,0.0019403763089788138,0.0019453512409779287,-4.974931999114857e-06
0.11,0.0023477373996891888,0.0023544661468677267,-6.728747178537907e-06
0.12,0.00279385535049451,0.002802677140551132,-8.82179005662169e-06
0.13,0.0032787213103323523,0.003289977452741131,-1.1256142408778633e-05
0.14,0.0038023259727600995,0.0038163463127105254,-1.4020339950425887e-05
0.15000000000000002,0.004364664036373932,0.004381748472027184,-1.7084435653251864e-05
0.16,0.0049657223539288356,0.004986140959816268,-2.0418605887432585e-05
0.17,0.005605496340689994,0.0056294781603871726,-2.3981819697178365e-05
0.18000000000000002,0.0062839775405014115,0.006311714850679604,-2.7737310178192927e-05
0.19,0.007001150472220388,0.007032807473225817,-3.1657001005429286e-05
0.2,0.00775701974226832,0.00779272241994454,-3.570267767622013e-05
0.21000000000000002,0.008551561854578851,0.008581006299154094,-2.9444444575242937e-05
0.22,0.009384774727670226,0.009417254549572552,-3.24798219023259e-05
0.23,0.01025664897564579,0.010292267608551373,-3.561863290558326e-05
0.24000000000000002,0.011167174723952508,0.01120607208042498,-3.889735647247261e-05
0.25,0.012116341418240344,0.012158708737493825,-4.236731925348104e-05
0.26,0.013104150660878933,0.013150219260068001,-4.606859918906796e-05
0.27,0.014130564806939083,0.014180637337913813,-5.0072530974729426e-05
0.28,0.01519559711742588,0.015178403284124741,1.7193833301138578e-05
0.29000000000000004,0.01629923537278429,0.016278129908712215,2.1105464072072866e-05
0.3,0.01744143107863362,0.01741608725381807,2.534382481554978e-05
0.31,0.01862219882944026,0.018592245799855613,2.9953029584646462e-05
0.32,0.019841521236698762,0.019806562578302607,3.495865839615517e-05
0.33,0.02109935812538237,0.0210589656494767,4.0392475905669245e-05
0.34,0.02239570719245978,0.02234936973561866,4.633745684112095e-05
0.35000000000000003,0.023730522512060814,0.02367768559748548,5.283691457533268e-05
0.36000000000000004,0.025103801622168718,0.02504382800623151,5.9973615937208846e-05
0.37,0.026515520322706144,0.026447727393921996,6.779292878414736e-05
0.38,0.027965626341679633,0.027889324471967274,7.630186971235853e-05
0.39,0.02945412045745914,0.029368552352933952,8.556810452518826e-05
0.4,0.030980979328406266,0.030885376872944573,9.560245546169285e-05
0.41000000000000003,0.03254614868882629,0.032439789322062824,0.00010635936676346713
0.42000000000000004,0.03414963794186069,0.03403178961025913,0.00011784833160156244
0.43,0.03579142980383059,0.03566139040250906,0.00013003940132153002
0.44,0.037471510096346604,0.03732862537800072,0.00014288471834588562
0.45,0.03918986819053045,0.039033555647023065,0.00015631254350738366
0.46,0.04094645663214179,0.04077626465975478,0.00017019197238701128
0.47000000000000003,0.04274135273738069,0.04255684203863628,0.0001845106987444084
0.48000000000000004,0.04457447508118273,0.04437537094369975,0.0001991041374829819
0.49,0.04644587084286462,0.04623194028923866,0.00021393055362595864
0.5,0.048355551066172016,0.04809074437095761,0.00026480669521440625
0.51,0.050303531397913104,0.050024859525545216,0.00027867187236788743
0.52,0.052289779987668615,0.05199733648185307,0.00029244350581554557
0.53,0.05431442361137997,0.05400827170737216,0.0003061519040078106
0.54,0.056377384950415055,0.05605778104610711,0.00031960390430794267
0.55,0.05847880746416547,0.05814599597495566,0.00033281148920981385
0.56,0.060618613749622734,0.06027306960164829,0.00034554414797444144
0.5700000000000001,0.06279696355352614,0.06243917094361587,0.00035779260991027073
0.5800000000000001,0.06501377864256681,0.06464448265210432,0.0003692959904624954
0.59,0.06726916775100092,0.06688918160974965,0.0003799861412512734
0.6,0.06956325213465311,0.06917343388896678,0.0003898182456863325
0.61,0.07189595098778517,0.07149738901537857,0.0003985619724066053
0.62,0.07426739024091322,0.0738611630652155,0.00040622717569772926
0.63,0.07667763237025049,0.07626487634529654,0.0004127560249539558
0.64,0.0791267434255425,0.07870864421792102,0.0004180992076214807
0.65,0.08161479311861139,0.08119258282973685,0.0004222102888745416
0.66,0.08414185494558733,0.08371678425881847,0.0004250706867688636
0.67,0.08670800634122963,0.08628127649242197,0.00042672984880766374
0.68,0.08931332886307296,0.08888607868576213,0.0004272501773108228
0.6900000000000001,0.0919579084036482,0.09153124588512779,0.00042666251852041537
0.7000000000000001,0.09464183542844723,0.0942168764804863,0.00042495894796093503
0.7100000000000001,0.09736520523738915,0.0969431036323188,0.0004221016050703491
0.72,0.100128118246751,0.09971024932044781,0.0004178689263031887
0.73,0.1029306802919313,0.10251871888619012,0.0004119614057411791
0.74,0.10577300294580917,0.10536896033404149,0.0004040426117676854
0.75,0.10865520385391175,0.10826141061284639,0.0003937932410653655
0.76,0.11157740708297645,0.11119649806919477,0.00038090901378168285
0.77,0.11453974348304724,0.11417476550601474,0.000364977977032499
0.78,0.11754235106025224,0.11719705107283829,0.0003452999874139495
0.79,0.12058537536132491,0.12026422597298499,0.00032114938833992246
0.8,0.12366884673165814,0.12337713500116061,0.00029171173049752364
0.81,0.12679317019941264,0.1265366655824218,0.00025650461699083804
0.8200000000000001,0.1299583962214364,0.12974360276532274,0.00021479345611366552
0.8300000000000001,0.1331647045368848,0.13299858361361672,0.0001661209232680927
0.8400000000000001,0.13641228448435533,0.13630226881276924,0.00011001567158608339
0.85,0.1397013354406987,0.13965529984003142,4.603560066729351e-05
0.86,0.14303206726443576,0.1430583400481986,-2.627278376282627e-05
0.87,0.1464047007516081,0.14651220552691013,-0.00010750477530202529
0.88,0.14981946809722269,0.15001782192000643,-0.00019835382278374225
0.89,0.1532766133669936,0.153575850648996,-0.0002992372820024014
0.9,0.15677639297659707,0.15718691200358462,-0.00041051902698754916
0.91,0.16031907618142482,0.16085162781179954,-0.0005325516303747169
0.92,0.16390494557684937,0.1645706832386619,-0.000665737661812521
0.93,0.16753429760151803,0.1683449309432686,-0.0008106333417505773
0.9400000000000001,0.17120727263572327,0.17228831511995166,-0.001081042484228384
0.9500000000000001,0.17492453357744675,0.1761763675568892,-0.0012518339794424516
0.9600000000000001,0.17868625475782848,0.18012276287421597,-0.001436508116387486
0.97,0.18249279330673102,0.1841285780711979,-0.00163578476446688
0.98,0.1863445229124448,0.1881949221980115,-0.0018503992855667117
0.99,0.19024183438995135,0.1923229670008257,-0.0020811326108743644
1.0,0.19418513628224532,0.19651383302789854,-0.002328696745653225
1.01,0.1981748554524688,0.2007686386381695,-0.002593783185700693
1.02,0.20221143770612734,0.2050885588945715,-0.0028771211884441594
1.03,0.2062953484249709,0.20947489428716307,-0.003179545862192157
1.04,0.21042707320375775,0.2139290371914679,-0.0035019639877101605
1.05,0.2146071185246686,0.21845242248633606,-0.0038453039616674622
1.06,0.21883601241141656,0.22304653472621166,-0.004210522314795101
1.07,0.22311430514920447,0.22771285303930422,-0.004598547890099752
1.08,0.2274425699540692,0.23245288778669626,-0.005010317832627065
1.09,0.23182140373640403,0.2372681531226081,-0.0054467493862040695
1.1,0.23625142780457906,0.2421601559291313,-0.005908728124552232
1.11,0.24073328864139837,0.24713043041853847,-0.006397141777140097
1.12,0.24526765867138917,0.2521805882673754,-0.006912929595986217
1.1300000000000001,0.2498554857375343,0.25731246745126674,-0.007456981713732436
1.1400000000000001,0.2544970038145519,0.26252801667039444,-0.008031012855842512
1.1500000000000001,0.25919321203147916,0.2678292497554078,-0.008636037723928625
1.1600000000000001,0.2639448946418221,0.2732182501501499,-0.009273355508327807
1.17,0.2687528659417055,0.27869710111882884,-0.00994423517712334
1.18,0.27361797117718956,0.28426773344305417,-0.010649762265864615
1.19,0.2785410874127523,0.2899321014827948,-0.011391014070042504
1.2,0.28352312444461747,0.2956922395197114,-0.01216911507509394
1.21,0.2885650257271122,0.30155027162233855,-0.012985245895226372
1.22,0.29366776933622724,0.3073131637302279,-0.013645394394000643
1.23,0.2988323689122927,0.3133694959375382,-0.014537127025245511
1.24,0.30405987462168005,0.3195308629032959,-0.01547098828161586
1.25,0.3093513741989543,0.3257995850071018,-0.016448210808147512
1.26,0.3147079939246606,0.3321779539636581,-0.017469960038997534
1.27,0.3201308996651009,0.338668404937442,-0.018537505272341104
1.28,0.32562129787476807,0.34527347399799935,-0.01965217612323128
1.29,0.33118043671800673,0.35199579275869763,-0.020815356040690902
1.3,0.3368099423375477,0.35883810107024916,-0.022028158732701475
1.31,0.3425104848864952,0.3658031266584811,-0.023292641771985867
1.32,0.3482837735864981,0.37289369514065906,-0.024609921554160974
1.33,0.35413123424778126,0.38011279165448664,-0.02598155740670538
1.34,0.36005433982851687,0.3874634913960818,-0.02740915156756496
1.35,0.3660546117498856,0.3949488479554769,-0.02889423620559134
1.36,0.3721336207851868,0.4025719209150604,-0.030438300129873586
1.37,0.37829298850123355,0.4103358188215979,-0.03204283032036437
1.3800000000000001,0.38453438833607145,0.4182436778414672,-0.033709289505395756
1.3900000000000001,0.3908595466843496,0.4262987866849474,-0.03543924000059784
1.4000000000000001,0.39727024440921516,0.43450431059420114,-0.03723406618498598
1.4100000000000001,0.40376831739358776,0.4428633020663802,-0.03909498467279243
1.42,0.41035565885693653,0.45137896016,-0.041023301303063475
1.43,0.417034219374891,0.4600545953826688,-0.043020376007777805
1.44,0.42380600903886134,0.4688935264453075,-0.045087517406446176
1.45,0.4306730982491994,0.47789923385702043,-0.04722613560782102
1.46,0.43763761901364884,0.4870754555603557,-0.04943783654670686
1.47,0.44470176663163197,0.4964259815589588,-0.05172421492732682
1.48,0.45186779992807,0.5059547358277993,-0.05408693589972924
1.49,0.459138500322511,0.5156657291871413,-0.05652722886463024
