# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.841148405593937346e-02,1.078670165883665878e-04,-5.755624972005911506e-03
3.682296811187874691e-02,4.309704337931320327e-04,-1.150088697031791292e-02
5.523445216781812384e-02,9.678247658146913335e-04,-1.722547892734266686e-02
7.364593622375749382e-02,1.715978680230119142e-03,-2.291920497882826008e-02
9.205742027969686381e-02,2.672050923830184693e-03,-2.857203455450999657e-02
1.104689043356362477e-01,3.831779079546572021e-03,-3.417415468636832154e-02
1.288803883915756177e-01,5.190079707378635922e-03,-3.971601999086650514e-02
1.472918724475149876e-01,6.741118132808594787e-03,-4.518839982304319325e-02
1.657033565034543576e-01,8.478385937380377921e-03,-5.058242215007803522e-02
1.841148405593937276e-01,1.039478408347405125e-02,-5.588961374862290443e-02
2.025263246153330976e-01,1.248270956907839534e-02,-6.110193639234021840e-02
2.209378086712724953e-01,1.473414355366618224e-02,-6.621181876215907758e-02
2.393492927272118653e-01,1.714073901409722198e-02,-7.121218388015639056e-02
2.577607767831512353e-01,1.969390616755982426e-02,-7.609647193709942470e-02
2.761722608390905775e-01,2.238489412272470086e-02,-8.085865845202439006e-02
2.945837448950299753e-01,2.520486747548569134e-02,-8.549326776833897357e-02
3.129952289509693730e-01,2.814497683715481632e-02,-8.999538195354113423e-02
3.314067130069087153e-01,3.119642255716795903e-02,-9.436064522762460660e-02
3.498181970628481130e-01,3.435051116746778987e-02,-9.858526409767039145e-02
3.682296811187874552e-01,3.759870432222326558e-02,-1.026660034222838802e-01
3.866411651747268530e-01,4.093266022731228970e-02,-1.066001786689276670e-01
4.050526492306661952e-01,4.434426774430972468e-02,-1.103856446595180146e-01
4.234641332866055929e-01,4.782567351109712900e-02,-1.140207811248056258e-01
4.418756173425449907e-01,5.136930254506759386e-02,-1.175044754061296826e-01
4.602871013984843329e-01,5.496787288625853279e-02,-1.208361026543661454e-01
4.786985854544237307e-01,5.861440489881498961e-02,-1.240155038806793064e-01
4.971100695103630174e-01,6.230222588300864811e-02,-1.270429622125206215e-01
5.155215535663024706e-01,6.602497066018585270e-02,-1.299191777018029736e-01
